id,label_kmeans_10
A6o1lNF4QoWbupw44vxNsw,1
C682dS8JSpaKaYlr5nqjhQ,0
G_tZ47JVT6ukGyuQYJyPRw,3
_LqM1wqaQpSi-wdvuU0KjA,3
5f0GnxxlQSG7yIvzMecH8A,0
uU7EsHOsRzCbVdUo8OtvhA,8
w2xzV_SmRqGp53JqNY8Lhg,0
9O6tP2nwQuGp8jR5J4Mmxw,0
l_9SJEm2R4-LStOv3PouJA,2
cJhED-5UTsKJEa5kxTP60A,3
SeqwI7KzSROVNoEufHf2TQ,3
cWLoTnazTjKcLNIbZyWppA,2
XkUKEQcrRiu_4cFWU2FPMA,4
bxbSURDqS7qoFgxyZHH2Ew,2
_bIrn1tcRaCpKL43oCfDsQ,0
z1G2w3FIS6mlRif39LoKRg,2
vkbBdzLmR8-TMNG9T_gP3Q,2
aFpW4-DxR3eX4zWdoShTGQ,2
iQG57dtrQqm066aINOxeNw,2
30tB88nWSeW5pRZktFYYeQ,0
2LkeF_73R4aSbyNOI5ES1A,3
TFV4CH48RkG42v2kUiJytA,2
cPuoL2dRRY-VGj2UVOuCxw,8
eU5IMnPNT9OLvqCDZyMEmg,0
IcoDkK2sTnSWdWJykEos0A,3
nC7-FXhATtmcakgCL98z1A,8
KZyIzk0uRaC4YfySdZRhZg,2
V_3ovMM0TUqsf7-JLzdnkw,2
70YPBV-EQnuk0Ctgh2e_Yw,0
x0dMUBrWR3OOk46Qyfg81g,3
18RR9bYGRziAfNQVcOYtwA,3
TYdTDvc1SVCrwtK2lwz9Tw,0
j0LvgvR1SrKuQyyUGH-gNQ,0
V7dNfGofQyKpRHF98c_Adg,0
N-jMm6v7ShyzAlJp9gNjdA,0
oPAY7or-TvewwEAxhnIUqA,0
8JnvmUlsS2SzzQejYuKpOQ,4
RdvhM_-kRfqBtdMap_hb4A,2
K1gbNJJBSYqMEmrjgfR3uQ,4
XeZvvwedQ3mwZ6YMt0FeuQ,2
eWhwlwQzTE2jjggTDSDOxQ,0
Dt7W3GuQRJKX5r4pYoCSxA,8
DfMT8ZvkS5CUJLDgPl27jw,0
7z1t3SaESbivsyRDwoBUZw,2
pCD9iabHQBaa0IYYsoEmCA,0
I0ScQrsYSAWiMSe8C3kT8w,2
bua8DazrQKmB9OiT_lXG8Q,3
qO0FHVQCSxWRAZ_8moPG5g,2
5YlQGn1GSa-dzu5lbmwyyA,8
BeG3QkeoS1-NQALWcBngrw,4
ctBbTBtNThSkdRxxsFHkuA,0
b1zOtHi7SPW1gYAAnTKEqg,2
KTzxs2plSTWtaJ6B2EvzOA,0
wkQXn8hsR_Otacalle5l9w,8
mx3vmORITIu2T__VM1y5gQ,2
8LR-F7sVSMa573V-EwNhbg,2
TCnW3KToSNaYEnlUzuhWrQ,2
AjnBX93FROihft8gRExUog,4
O3dMc6kJSeOZHUoU8zSwPw,2
vticJCWfRmGzd0XZkipBVQ,0
O0XmbrfCSHuj7w3Er5FIRA,2
kqiIo-qfTVmhz8wm8Adbng,1
u9mSbkvJT9-j3dRhk3DSQg,0
2psDHoGgRgC9RhhApWxL6A,2
hdmtfr7uTAad-NRNyucMGA,0
61_I98WQRT2BgnPg1U1K_w,3
WrLlOfMXSrq2139gMZodwA,2
jyOVCVV0Rk-llv9pkUigJA,8
PhRDzlLDTzO0Uo4eLSKlXw,3
TMsknOVgQgGx0VdR-CWiGA,4
jeqqHSbSQwuQ-XipgxRFmQ,2
vYRHM9YhTyCY8aqq5ASgdg,7
pRY0RlCeR3ClfRIGBUA0xw,2
TtgjliDJS9SiaeGKruLKYA,0
Pdp5UFAGTuybCXp76kIRPw,4
rN5mgmB6SSmHLuuhROvgSQ,4
qt_JMHm6QXqaQZne3Bs4ow,3
VAux5q6cS9OnuA7STbsi-Q,0
6zeSORKfQaCZt9ScCfb1QA,2
5MRH5XFfTnaBRr3UW8_QgA,2
nq4ox4oDSkSSAP7Oq7q2UQ,2
K91jqhluTpuOovs-bTrnUw,2
zrF1VNtURbmd7kkBJ7bcPw,0
WYiYF1O_Rt2DFCkmlj7mvg,8
CfWAbh-dTaO0oQKHWOT81Q,0
HRPFwfZvS1mw6VvoLK64Hw,2
8CU9igMZQji7M_gFVZiGrA,2
Be10z8hNRhqC6nDxNeOfDQ,3
bYs_krXNR36V7HjVbZNxiQ,2
V-nFiJL9S7OM1bIGkE_aqQ,0
zE4iV4PwT5aAeDfLP5PUzg,8
f-r6G4JFQFy2_PZirJGA-g,0
06DtYondR_e7NNVyBNtUbw,2
-vTZL8HNQS6vSiryWkNZzw,0
VuUGsDJrRFCPj-F51Z-ORg,2
7u8na_-lSsGiAkIWRdlSXQ,2
Z--iFMqdTPq8zixwgrQZOA,0
5FGuxKGNT3KZfcX8Liqnfw,4
zDwjv2TOQoaoqyiufqoARg,4
buSGaIjxRQWKi92t-MBqwA,0
6-Ow27niREKpLmCSU-XkuA,4
f5A4j27KTJOzm_bW5aXlMA,2
iLmc8sBfTEm9E4l9cOEs5Q,2
wv64e6aDS0SI8cZ82YGVgQ,0
2VYpoiGGQRCcHKOj9Nh2og,0
agWgEWMMSU-c1MBWLY0EWQ,0
jKBiXDLCSeaDE3Y6o26_qA,8
R1jVS2CRQo2OsZ7NGOs1Dw,3
qungz9lmTiWw51grors36A,3
lnY-RZ_qSjCalPMoaP6lOQ,0
p_nLzjhJQ7qWB8B53E7W9Q,0
dIKETsXjQNuD33prgZSz2Q,0
gmaZ9jOeRm-24UwWoESrWg,8
BlHOKgkOSriPISPotPbL2g,0
-gdD2_BuRQ6tG1QYpUdSVQ,0
_0B8p2QwSRiTMZDUShATbA,5
Debyo_kjRueCVMSom_o8nA,0
MHT8AHKuQD2nJitqnuqUmg,0
AiAAM4ZARaiXQgRSukFqzA,8
Gik6xRsrRdmtHSfCDHgGvg,2
spX_KrUXSsikog0Ut5yVNQ,4
Rd8ZBRYfSoKeaAQ_KBYwgg,0
WXJvdk-UT6K3tOFLi4ioSA,4
9JvW1ghWTne7iPiRa6ghSA,2
FVWVGgQhSe6mCW64F56idw,0
kBACpujPQ2qiHM1WaCy5wg,0
wvs7c3okQ-WkkyXLQNC0HA,2
AJYqCQwRSG-oAPScf8pFEA,2
h-eH9HaNQvmzzVTMmHQo2A,8
Htv91H7dRgSvSuCpdQbDnQ,0
P654d0mSRwOhVaoX6g7m8A,0
ncnifsuCRAOU7akFgj-yIg,2
ufzgIHmOT4q_vb-mFHgU0Q,2
LtjZXoxIQm2DZIyu_fSOLQ,4
ADP04EqTSzqmDCNfPB7yXw,0
pNLQcSirRN2m7d7kmu9Xvw,4
BAU6FZ2rScOUXgAol9sCOw,2
MfhQ5u97TyWWJNgB3XgbiQ,8
in-KvGd6Qk2j64xvSCPB-g,4
oo5xLShfRwKUJLVWC3WyJA,2
B3kR857fQe6s2VAUw-gTpg,2
vPIGluVBSqSedx5Zv3WwRA,1
kDkjRy7FSx-1dsppXF01uw,3
4tc5Ezs3SF6dfe7F_9GuOA,4
xoBBaFE4RYG2hF90zd5CpA,8
FDaT8N6QSxyOEPK_U-Y27Q,2
4k9DuY_WSwmTpIZn2KuRDA,8
I9jV5aDLTrqkxBiZOTkK9w,2
